aba: 阿爸
zhaoying: 照应
zhaozhang: 照章
zhaoqing: 肇庆
zhebi: 遮蔽、这笔
zhedang: 遮挡
zhegai: 遮盖
zheyan: 遮掩
zhedie: 折叠
zheduan: 折断、这段
zhefu: 折服
zhehe: 折合
zhejiu: 折旧、这就
zhekou: 折扣
zhemo: 折磨
zheshe: 折射
zhesuan: 折算
zheteng: 折腾
zhezhong: 折中、折衷、这种
zheli: 哲理、这里
zhexue: 哲学
zheban: 这般
zhebian: 这边
zhecai: 这才
zheci: 这次
zhedian: 这点
zheer: 这儿
zhege: 这个
zhejia: 这家
zhejiang: 这将、浙江
zhelei: 这类
zheme: 这么
zhepi: 这批
zheque: 这却
zheshi: 这时、这是
zhetiao: 这条
zhexia: 这下
zhexiang: 这项
zhexie: 这些
zheyang: 这样
zheyi: 这一
zhetang: 蔗糖
zhencao: 贞操
zhenjie: 贞节
zhenji: 贞洁、侦缉
zhenbian: 针砭
zhenci: 针刺
zhendui: 针对
zhenjiu: 针灸
zhenzhi: 针织、真知、真挚、诊治
zhencha: 侦查、侦察
zhenpo: 侦破
zhentan: 侦探
zhenting: 侦听
zhenai: 珍爱
zhenbao: 珍宝
zhenben: 珍本
zhencang: 珍藏
zhengui: 珍贵
zhenpin: 珍品
zhenqi: 珍奇
zhenshi: 珍视、真实、真是、阵势
zhenxi: 珍惜、珍稀
zhenzhong: 珍重、震中
zhenzhu: 珍珠
zhencheng: 真诚
zhende: 真的
zhendi: 真谛、阵地
zhenhao: 真好
zhenhuai: 真坏
zhenjia: 真假
zhenjun: 真菌
zhenkong: 真空
zhenli: 真理
zhenqie: 真切
zhenqing: 真情
zhenque: 真确
zhenren: 真人
zhenwei: 真伪
zhenxiang: 真相
zhenxin: 真心
zhenzheng: 真正
zhenzhuo: 斟酌
zhenbie: 甄别
zhenyan: 箴言
zhenduan: 诊断
zhenfei: 诊费
zhenliao: 诊疗
zhensuo: 诊所
zhenmu: 枕木
zhentou: 枕头
zhenjiao: 阵脚
zhenrong: 阵容
zhenwang: 阵亡
zhenxian: 阵线
zhenying: 阵营
zhenyu: 阵雨
zhenzhen: 阵阵
zhendang: 振荡、震荡
zhendong: 振动、震动
zhenfen: 振奋
zhenfu: 振幅
zhenxing: 振兴
zhenzuo: 振作
zhenzai: 赈灾
zhending: 镇定
zhenjiang: 镇江
zhenjing: 镇静、震惊
zhenya: 镇压
zhenzhan: 震颤
zhenhan: 震撼
zhennu: 震怒
zhenshe: 震慑
zhengba: 争霸
zhengban: 争办
zhengbian: 争辩、整编、政变
zhengchao: 争吵
zhengchi: 争持
zhengchuang: 争创
zhengdang: 争当、整党、正当、政党
zhengdou: 争斗
zhengduan: 争端
zhengduo: 争夺
zhenggou: 争购、征购
zhengguang: 争光
zhenglun: 争论、政论
zhengming: 争鸣、正名、证明
zhengqi: 争气、蒸气、蒸汽、整齐、正气、政企
zhengqu: 争取
zhengquan: 争权、证券、政权
zhengxian: 争先、正弦
zhengxiang: 争相、正像
zhengyan: 争艳、睁眼
zhengyi: 争议、正义
zhengzhi: 争执、整治、正直、正值、正职、政治
zhengbing: 征兵
zhengcheng: 征程
zhengdiao: 征调
zhengding: 征订
zhengfu: 征服、正负、正副、政府
zhenggao: 征稿、正告
zhengguan: 征管
zhengji: 征集、整机、整洁、正畸、正极、政绩、政纪
zhengpin: 征聘、正品、帧频
zhengqiu: 征求
zhengshou: 征收
zhengshui: 征税
zhengtu: 征途
zhengwen: 征文、正文
zhengxun: 征询
zhengyong: 征用
zhengzhan: 征战
zhengzhao: 征召、征兆
zhengrong: 峥嵘、整容
zhengqian: 挣钱
zhengtuo: 挣脱
zhengzha: 挣扎
zhengning: 狰狞
zhengfa: 蒸发、正法、政法
zhengliu: 蒸馏、整流
zhengjiu: 拯救
zhengbei: 整备
zhengchu: 整除
zhengdi: 整地
zhengdun: 整顿
zhengfeng: 整风、正逢
zhenggai: 整改
zhengge: 整个、正割
zhenghe: 整合
zhengli: 整理、正理
zhengnian: 整年
zhengri: 整日
zhengshu: 整数、正数、证书
zhengtao: 整套
zhengti: 整体、正题、正体、政体
zhengtian: 整天
zhengxing: 整形
zhengxiu: 整修
zhengye: 整夜、正业
zhengyue: 整月、正月
zhengzheng: 整整
zhengbi: 正比
zhengchang: 正常
zhengda: 正大
zhengdai: 正待
zhengdao: 正道
zhengdian: 正点、正电
zhengfan: 正反
zhenggui: 正规、正轨
zhenghao: 正好、正号
zhenghuo: 正火
zhengjing: 正经
zhengliang: 正梁
zhenglu: 正路
zhengmen: 正门
zhengmian: 正面
zhengpai: 正派
zhengpian: 正片
zhengqiao: 正巧
zhengqie: 正切
zhengque: 正确
zhengru: 正如
zhengshi: 正式、正视、正是、证实、政事
zhengtong: 正统
zhengwu: 正午、政务
zhengzai: 正在
zhengzhong: 正中、郑重
zhengzong: 正宗
zhengci: 证词
zhengjian: 证件、政见
zhengju: 证据、政局
zhengren: 证人
zhengzhang: 证章
zhengma: 郑码
zhengzhou: 郑州
zhengce: 政策
zhenggong: 政工
zhengjie: 政界、症结
zhengke: 政客
zhengling: 政令
zhengshen: 政审
zhengtan: 政坛
zhengwei: 政委
zhengxie: 政协
zhenghou: 症侯
zhengzhuang: 症状
zhier: 之二
zhihou: 之后、滞后
zhiji: 之际、知己、织机、制剂
zhijian: 之间、只见
zhijiu: 之久
zhilei: 之类
zhiliu: 之流、支流、直流、滞留
zhilu: 之路
zhinei: 之内
zhiqian: 之前、支前
zhisan: 之三
zhishang: 之上、直上、至上、致伤、智商
zhisheng: 之声、制胜
zhishi: 之势、支使、知识、知事、只是、指使、指示、志士、制式、致使
zhishou: 之首、职守
zhiwai: 之外
zhixia: 之下、直辖
zhiyi: 之一、执意、旨意、质疑、致意、置疑
zhiyu: 之余、至于、治愈、智育、置于
zhizheng: 之争、执政、指正
zhizhong: 之中
zhibu: 支部、织布、止步
zhicheng: 支撑、织成、职称、制成
zhichi: 支持、直尺、咫尺
zhichu: 支出、指出
zhidian: 支点、指点、质点、致电
zhidui: 支队
zhifu: 支付、制服、致富
zhijia: 支架、指甲、治家
zhiju: 支局
zhinong: 支农
zhipei: 支配
zhipiao: 支票
zhiqu: 支取、知趣、志趣、智取
zhishu: 支书、直属、植树、指数
zhiwei: 支委、职位
zhixian: 支线、知县、直线、只限
zhiyuan: 支援、职员、志愿
zhizhu: 支助、支柱、蜘蛛、执著、植株
zhizuo: 支座、制作、制做
zhima: 芝麻
zhijie: 枝节、肢解、直接
zhitiao: 枝条
zhiye: 枝叶、职业
zhidao: 知道、直到、指导
zhidi: 知底、质地
zhifa: 知法、执法、指法
zhijue: 知觉、直觉
zhiming: 知名、指明、致命
zhiqing: 知青、知情
zhixi: 知悉、直系、窒息
zhixiao: 知晓、直销、滞销
zhixin: 知心、置信
zhiyin: 知音、只因、指引
zhizu: 知足
zhipin: 织品、制品
zhiwu: 织物、职务、植物
zhizao: 织造、制造
zhiti: 肢体
zhifang: 脂肪
zhiao: 执拗
zhibi: 执笔、纸币
zhiqin: 执勤、值勤
zhixing: 执行
zhizhang: 执掌、职掌、纸张
zhizhao: 执照、执着
zhibo: 直播
zhida: 直达
zhiguan: 直观、只管
zhihang: 直航
zhijiao: 直角、指教
zhijing: 直经、直径、止境、致敬
zhili: 直隶、治理、致力、智力、智利
zhilv: 直率
zhishuang: 直爽
zhishuo: 直说
zhitong: 直通、止痛
zhiyan: 直言
zhizhi: 直至、制止
zhiban: 值班、制版、置办
zhici: 值此、至此、致词、致辞
zhide: 值得、只得
zhiri: 值日
zhibie: 职别
zhigong: 职工
zhineng: 职能、只能、智能
zhiquan: 职权
zhize: 职责、指责
zhibao: 植保
zhibei: 植被、制备、置备
zhipi: 植皮
zhimin: 殖民
zhixie: 止血、致谢
zhidang: 只当
zhigu: 只顾、桎梏
zhihao: 只好
zhipa: 只怕
zhiqiu: 只求
zhishen: 只身、置身
zhixu: 只须、只需、只许、秩序
zhiyao: 只要
zhiyong: 只用
zhiyou: 只由、只有、挚友
zhizhan: 只占
zhizai: 旨在
zhihe: 纸盒
zhitou: 纸头、指头
zhixiang: 纸箱、指向、志向
zhibiao: 指标、制表、治标
zhiding: 指定、制订、制定
zhihui: 指挥、智慧
zhikong: 指控
zhiling: 指令
zhinan: 指南
zhipai: 指派
zhiwang: 指望
zhizhen: 指针
zhiduo: 至多
zhijin: 至今
zhishao: 至少
zhiqi: 志气、稚气
zhicai: 制裁
zhidong: 制动
zhidu: 制度
zhileng: 制冷
zhitu: 制图
zhiyue: 制约
zhian: 治安
zhiben: 治本
zhibing: 治病
zhichang: 治厂
zhiguo: 治国
zhijun: 治军
zhiliao: 治疗
zhisang: 治丧
zhishan: 治山
zhishui: 治水
zhixue: 治学
zhibian: 质变
zhigan: 质感
zhiliang: 质量
zhipu: 质朴
zhiwen: 质问
zhixun: 质询
zhizi: 质子
zhiai: 致癌
zhican: 致残
zhihan: 致函
zhimi: 致密
zhisi: 致死
zhimou: 智谋
zhinang: 智囊
zhihuan: 置换
zhongbiao: 中标、钟表
zhongbu: 中部
zhongcan: 中餐、重残
zhongceng: 中层
zhongchang: 中长、终场、衷肠
zhongdang: 中档
zhongde: 中的
zhongdeng: 中等
zhongdian: 中点、终点、钟点、重点
zhongdong: 中东
zhongdu: 中毒
zhongduan: 中段、中断、终端
zhongdui: 中队
zhongfang: 中方
zhonggeng: 中耕
zhonggong: 中共
zhongguo: 中国
zhonghe: 中和、重合
zhonghua: 中华、种花
zhongji: 中级、中继、终极
zhongjian: 中坚、中间、重建
zhongjiang: 中将、中奖、终将、重奖
zhongjie: 中介、终结
zhongkan: 中看
zhongken: 中肯
zhongli: 中立、重力
zhongliu: 中流、肿瘤
zhongmei: 中美
zhongnan: 中南
zhongnian: 中年、终年
zhongnong: 中农
zhongou: 中欧
zhongpan: 中盘
zhongpin: 中频
zhongqi: 中期
zhongqiu: 中秋、仲秋
zhongri: 中日、终日
zhongshan: 中山
zhongshang: 中伤、重伤、重赏
zhongshi: 中式、忠实、重视
zhongshu: 中枢
zhongsu: 中苏
zhongting: 中厅
zhongtu: 中途
zhongwai: 中外
zhongwen: 中文、重温
zhongwu: 中午、重物
zhongxi: 中西
zhongxia: 中下
zhongxian: 中线、重现
zhongxiao: 中小、中校
zhongxin: 中心、忠心、衷心、重心、重新
zhongxing: 中型、中性、重型
zhongxuan: 中选
zhongxue: 中学
zhongxun: 中旬
zhongya: 中亚
zhongyang: 中央
zhongyao: 中药、重要
zhongye: 中叶
zhongyi: 中医、中意
zhongying: 中英
zhongyong: 中庸、中用、重用
zhongyou: 中游、重油
zhongyu: 中雨、忠于、终于
zhongyuan: 中原
zhongzhi: 中直、中止、中指、终止、种植
zhongzhuan: 中专、中转
zhongzi: 中子、种子
zhongcheng: 忠诚
zhonggao: 忠告
zhonghou: 忠厚
zhongliang: 忠良、重量
zhonglie: 忠烈
zhongyan: 忠言、重演
zhongzhen: 忠贞、重振、重镇
zhonggui: 终归
zhongjiu: 终究、终久
zhongju: 终局
zhongle: 终了
zhongneng: 终能
zhongshen: 终身、终审、重申
zhongsheng: 终生
zhongtian: 终天、种田
zhongai: 钟爱
zhongqing: 钟情、衷情、重氢、重庆
zhongtou: 钟头
zhongzhang: 肿胀
zhongdi: 种地、重地
zhonglei: 种类
zhongzhong: 种种、重重
zhongzu: 种族、重组
cai: 裁
zhongduo: 众多
zhongmu: 众目
zhongren: 众人、重任
zhongshuo: 众说
zhongwang: 众望
zhongban: 重版、重办
zhongbing: 重兵
zhongchuang: 重创
zhongda: 重大
zhongdan: 重担
zhongdie: 重叠
zhongfa: 重罚
zhongfan: 重返、重犯
zhongfeng: 重逢
zhongfu: 重负、重复
zhonghun: 重婚
zhongjia: 重价
zhongkou: 重扣
zhongma: 重码
zhongtuo: 重托
zhongwei: 重围
zhongxiang: 重像
zhongyin: 重印
zhongzheng: 重整
zhongzou: 重奏
zhouchang: 州长、周长
zhoushan: 舟山
zhoubao: 周报
zhoubian: 周边
zhoudao: 周到
zhoukan: 周刊
zhoukou: 周口
zhoumi: 周密
zhoumo: 周末
zhounian: 周年
zhouqi: 周期
zhouquan: 周全
zhousui: 周岁
zhouwei: 周围
zhouxiang: 周详、轴箱
zhouxuan: 周旋
zhouyou: 周游
zhouzhe: 周折
zhouzhi: 周知
zhouzhuan: 周转
zhoucheng: 轴承
zhoutao: 轴套
zhouwa: 轴瓦
zhouxian: 轴线
zhouxin: 轴心
zhouma: 咒骂
zhouye: 昼夜
zhouwen: 皱纹
zouran: 骤然
zhude: 朱德
zhulian: 株连
zhuzhou: 株洲、主轴
zhubao: 珠宝
zhuhai: 珠海
zhujiang: 珠江、主将、主讲
zhusuan: 珠算
zhuduo: 诸多
zhuhou: 诸侯
zhuru: 诸如、注入
zhuwei: 诸位、助威
zhuzi: 诸子、逐字、柱子
zhurou: 猪肉
zhuyou: 猪油
zhuguang: 烛光
zhubu: 逐步
zhuci: 逐次、主次
zhuge: 逐个
zhuji: 逐级、主机、主祭
zhujian: 逐渐、主见、铸件
zhunian: 逐年
zhuri: 逐日
zhutiao: 逐条
zhuyi: 逐一、主义、主意、注意
zhuyue: 逐月
zhuban: 主板、主办
zhubi: 主笔
zhubian: 主编
zhuchi: 主持
zhucong: 主从
zhudao: 主导
zhudong: 主动
zhudui: 主队
zhufa: 主阀
zhufan: 主犯
zhufeng: 主峰
zhufu: 主妇、嘱咐、祝福
zhugan: 主干
zhugen: 主根
zhugong: 主攻、助工
zhugu: 主顾
zhuguan: 主观、主管
zhuhun: 主婚
zhujiao: 主角、主教、助教
zhukao: 主考
zhuke: 主课
zhuli: 主力、助理
zhuliang: 主粮
zhuliu: 主流、驻留
zhumou: 主谋
zhupai: 主牌
zhuquan: 主权
zhuren: 主人、主任
zhushi: 主食、主使、注视、注释、柱石
zhushuai: 主帅
zhusong: 主送
zhuti: 主题、主体
zhuxi: 主席
zhuyan: 主演、助研
zhuyao: 主要
zhuyin: 主音
zhuzai: 主宰
zhuzhang: 主张
zhuzhi: 主枝、主治、住址
zhuzhua: 主抓
shuxiang: 属相
shuxing: 属性
zhufei: 煮沸
zhuchong: 煮茧
zhutuo: 嘱托
zhumu: 瞩目、注目
zhuchu: 住处
zhudi: 住地、驻地
zhufang: 住房、驻防
zhuhu: 住户
zhujia: 住家
zhusu: 住宿
zhuyuan: 住院、祝愿
zhuzhai: 住宅
zhuchang: 助长
zhupao: 助跑
zhuran: 助燃
zhushou: 助手、驻守、祝寿
zhuxing: 助兴、铸型
zhuce: 注册
zhuding: 注定、铸锭
zhujie: 注解
zhuming: 注明、著名
zhuse: 注色
zhushe: 注射
zhuxiao: 注销
zhuzhong: 注重
zhubei: 贮备
zhucang: 贮藏
zhucun: 贮存
zhuhua: 驻华
zhujing: 驻京
zhujun: 驻军
zhuwai: 驻外
zhuzha: 驻扎
zhuhe: 祝贺
zhujiu: 祝酒
zhucheng: 著称
zhushu: 著书、著述
zhuzhe: 著者
zhuzuo: 著作
zhulu: 筑路
zhugang: 铸钢
zhutie: 铸铁
zhuzao: 铸造
zhuabu: 抓捕
zhuahao: 抓好
zhuahuo: 抓获
zhuajin: 抓紧
zhuazhu: 抓住
zhuaya: 爪牙
zhuazi: 爪子
zhuanan: 专案
zhuanchang: 专长、专场
zhuancheng: 专程
zhuandian: 专电
zhuanfa: 专发、转发
zhuanfang: 专访
zhuangong: 专供
zhuanguan: 专管
zhuangui: 专柜
zhuanheng: 专横
zhuanji: 专机、专集、专辑、转机
zhuanjia: 专家、转嫁
zhuankan: 专刊
zhuanke: 专科
zhuankuan: 专款
zhuanlan: 专栏
zhuanli: 专利
zhuanmai: 专卖、转卖
zhuanmen: 专门
zhuanqu: 专区、赚取
zhuanren: 专人
zhuanshu: 专署
zhuanti: 专题
zhuanxian: 专线
zhuanxiang: 专项、转向
zhuanxin: 专心
zhuanxiu: 专修
zhuanxun: 专讯
zhuanye: 专业、转业
zhuanyi: 专一、转移
zhuanying: 专营
zhuanyong: 专用
zhuanyuan: 专员
zhuanze: 专责
zhuanzheng: 专政、转正
zhuanzhi: 专职、专制
zhuanzhu: 专注、专著
zhuanbian: 转变
zhuanbo: 转播
zhuanchan: 转产
zhuanda: 转达
zhuandong: 转动
zhuaner: 转而
zhuangao: 转告、撰稿
zhuangei: 转给
zhuanhua: 转化
zhuanhuan: 转换
zhuanjiao: 转交
zhuankou: 转口
zhuanlu: 转炉、转录
zhuanrang: 转让
zhuanru: 转入
zhuanshen: 转身
zhuanshou: 转手
zhuanshun: 转瞬
zhuansong: 转送
zhuansu: 转速
zhuanwan: 转弯
zhuanwei: 转为
zhuanyan: 转眼
zhuanyun: 转运
zhuanzai: 转载
zhuanzhang: 转帐
zhuanzhe: 转折
zhuanzhou: 转轴
zhuanzi: 转子
zhuanqian: 赚钱
zhuantou: 赚头
zhuanwen: 撰文
zhuanxie: 撰写
zhuangjia: 庄嫁、庄稼、装甲
zhuangyan: 庄严
zhuangyuan: 庄园、状元
zhuangzhong: 庄重
zhuangzi: 庄子
zhuangban: 装扮
zhuangbei: 装备
zhuangche: 装车、撞车
zhuangchuan: 装船
zhuangding: 装订
zhuanghuo: 装货
zhuangji: 装机、撞击
zhuangjin: 装进
zhuangliao: 装料
zhuangpei: 装配
zhuangru: 装入
zhuangshi: 装饰、壮实
zhuangshu: 装束
zhuangxiang: 装箱
zhuangxie: 装卸
zhuangxiu: 装修
zhuangyou: 装有
zhuangyun: 装运
zhuangzai: 装载
zhuangzhi: 装置、壮志
zhuangda: 壮大
zhuangdan: 壮胆
zhuangguan: 壮观
zhuangju: 壮举
zhuangkuo: 壮阔
zhuangli: 壮丽
zhuanglie: 壮烈
zhuangmiao: 壮苗
zhuangnian: 壮年
zhuangzu: 壮族
zhuangkuang: 状况
zhuangtai: 状态
zhuanghuai: 撞坏
zhuangjiao: 撞礁
zhuangshang: 撞伤
zhuibu: 追捕
zhuicha: 追查
zhuidao: 追悼
zhuifei: 追肥
zhuigan: 追赶
zhuihui: 追回、坠毁
zhuiji: 追击、追记
zhuijia: 追加
zhuijiao: 追缴
zhuijiu: 追究
zhuiqiu: 追求
zhuiren: 追认
zhuishou: 追授
zhuishu: 追述、赘述
zhuisu: 追溯
zhuisui: 追随
zhuiwen: 追问
zhuixun: 追寻
zhuiyi: 追忆
zhuizhu: 追逐
zhuizong: 追踪
zhuixing: 锥形
zhuidi: 坠地
zhuiluo: 坠落
zhunbao: 准保
zhunbei: 准备
zhunque: 准确
zhunsheng: 准绳
zhunshi: 准时
zhunxu: 准许
zhunyu: 准予
zhunze: 准则
zhuojue: 卓绝
zhuoshi: 卓识
zhuoyou: 卓有
zhuoyue: 卓越
zhuozhu: 卓著、拙著、捉住
zhuolie: 拙劣
zhuomo: 捉摸、琢磨
zhuona: 捉拿
zhuonong: 捉弄
zhuomian: 桌面
zhuoyi: 桌椅
zhuozi: 桌子
zhuore: 灼热
zhuoshang: 灼伤
zhuozhuang: 茁壮
zhuoding: 酌定
zhuoliang: 酌量
zhuoqing: 酌情
zhaohuang: 着慌
zhaohuo: 着火
zhaolu: 着陆
zhaoluo: 着落
zhaomi: 着迷
zhaomo: 着魔
zhaose: 着色
zhaoyan: 着眼
zhaoyi: 着意
zhaozhuang: 着装
zixi: 仔细、自习
zijiang: 兹将
ziyou: 兹有、自由、自幼
zixun: 咨询、资讯
zishi: 姿势、滋事、自恃
zitai: 姿态
ziben: 资本
zicai: 资财
zichan: 资产
zige: 资格
zijin: 资金
zili: 资历、子粒、自理、自力、自立
ziliao: 资料
ziyuan: 资源、自愿
zizhu: 资助、自主
zibo: 淄博
zibu: 滋补
zichang: 滋长
zirao: 滋扰
zirun: 滋润
zisheng: 滋生
ziwei: 滋味、自卫、自慰
ziyang: 滋养、字样
zidan: 子弹
zidi: 子弟
zifang: 子房
zigong: 子宫、自贡
zinv: 子女
zisun: 子孙
zimei: 姊妹
zijing: 紫荆
zise: 紫色
zibiao: 字表
zici: 字词
zidian: 字典
zifu: 字符、自负
zigen: 字根
zihai: 字海
zihao: 字号、自豪
ziji: 字迹、自己
zijie: 字节
ziju: 字句、字据、自居
ziku: 字库
zimu: 字母、字幕
ziti: 字体
zitie: 字帖
zixing: 字形、字型、自行
ziyan: 字眼
ziyi: 字义、恣意
ziyin: 字音
ziai: 自爱
zibai: 自白
ziban: 自办
zibei: 自卑、自备
zibian: 自编
zicheng: 自称
zichi: 自持
zichou: 自筹
zichuan: 自传
zicong: 自从
zida: 自大
ziding: 自定
zidong: 自动
zifa: 自发
zifei: 自费
zifeng: 自封
zigei: 自给
zijia: 自家
zijian: 自荐
zijiu: 自救
zijue: 自决、自觉
zikong: 自控
zikua: 自夸
ziliu: 自流
ziman: 自满
zimian: 自勉
ziqiang: 自强
ziran: 自然
ziru: 自如
zisha: 自杀
zishen: 自身
zishou: 自首
zishu: 自述
zisi: 自私
ziwen: 自问
ziwo: 自我
zixiao: 自销
zixin: 自新、自信
zixiu: 自修
zixu: 自叙
zixuan: 自选
zixue: 自学
ziying: 自营
ziyong: 自用
ziyu: 自语
zizai: 自在
zizhao: 自找
zizhi: 自知、自制、自治
zizhong: 自重
zizhuan: 自转
zizu: 自足
zizun: 自尊
zongfa: 宗法
zongjiao: 宗教
zongpai: 宗派
zongzhi: 宗旨、总之、总支、总值
zongguan: 综观、总管、纵观、纵贯
zonghe: 综合、总和
zongshu: 综述、总数
zongse: 棕色
zongji: 踪迹、总机、总计
zongying: 踪影
zongbu: 总部
zongcai: 总裁
zongcan: 总参
zongchan: 总产
zongchang: 总长、总厂
zongcheng: 总称、总成
zongde: 总得
zongdu: 总督
zongdui: 总队、纵队
zonge: 总额
zongfen: 总分
zonggang: 总纲
zonggong: 总工、总共
zonggui: 总归
zonghou: 总后
zongjie: 总结
zongju: 总局
zongkuo: 总括
zongli: 总理
zongliang: 总量
zonglun: 总论、纵论
zongneng: 总能
zongping: 总评
zongshi: 总是、纵使
zongsuan: 总算
zongti: 总体
zongtong: 总统
zongwu: 总务
zongxian: 总线
zongxing: 总行
zongyao: 总要
zongze: 总则
zongzhan: 总站
zongzhang: 总帐
zongzheng: 总政
zongzhuang: 总装
zongbo: 纵波
zongheng: 纵横
zonglan: 纵览
zongqing: 纵情
zongran: 纵然
zongrong: 纵容
zongshen: 纵深
zongtan: 纵谈
zongxiang: 纵向
zouhong: 邹虹、走红
zoubian: 走遍
zouchu: 走出
zoudao: 走道
zoudong: 走动
zoufang: 走访
zougou: 走狗
zouguo: 走过
zoujin: 走进
zoukai: 走开
zoulang: 走廊
zoulou: 走漏
zoulu: 走路
zouqiao: 走俏
zoushang: 走上
zoushui: 走水
zousi: 走私
zouxiang: 走向
zouyang: 走样
zouyun: 走运
zouzu: 走卒
zouxiao: 奏效
zujie: 租界、租借、阻截
zujin: 租金
zulin: 租赁
zuyong: 租用
zugou: 足够
zuji: 足迹、阻击、祖籍
zujian: 足见、组建
zuqiu: 足球
zutan: 足坛
zuxia: 足下
zuyi: 足以
zuren: 族人
zuzhou: 诅咒
zuai: 阻碍
zudang: 阻挡
zuge: 阻隔、组阁
zukang: 阻抗
zulan: 阻拦
zuli: 阻力
zunao: 阻挠
zuni: 阻尼
zusai: 阻塞
zuxian: 阻险、祖先
zuzhi: 阻值、阻止、组织
zuan: 组胺
zuchang: 组长
zucheng: 组成
zuhe: 组合
zupei: 组配
zutuan: 组团
zuyuan: 组员
zuzhuang: 组装
zubei: 祖辈
zuchuan: 祖传
zufu: 祖父
zuguo: 祖国
zumu: 祖母
zushang: 祖上
zushi: 祖师
zuzong: 祖宗
zuanjing: 钻井
zuanshi: 钻石
zuantan: 钻探
zuantou: 钻头
zuanyan: 钻研
zuanying: 钻营
zuiba: 嘴巴
zuichun: 嘴唇
zuilian: 嘴脸
zuiai: 最矮
zuichang: 最长
zuichi: 最迟
zuichou: 最丑
zuichu: 最初
zuida: 最大
zuidi: 最低
zuiduan: 最短
zuiduo: 最多
zuigao: 最高
zuihao: 最好
zuihou: 最后
zuihuai: 最坏
zuijia: 最佳
zuijin: 最近
zuikuai: 最快
zuiling: 最灵
zuiman: 最慢
zuimei: 最美
zuineng: 最能
zuiqian: 最前、最浅
zuiqiao: 最巧
zuishang: 最上
zuishao: 最少
zuishen: 最深
zuiwei: 最为
zuixia: 最下
zuixian: 最先
zuixiao: 最小
zuixin: 最新、醉心
zuiyou: 最右
zuizao: 最早
zuizhong: 最终
zuizui: 最最
zuizuo: 最左
zuie: 罪恶
zuifan: 罪犯
zuiguo: 罪过
zuikui: 罪魁
zuiming: 罪名
zuinie: 罪孽
zuiren: 罪人
zuixing: 罪行
zuize: 罪责
zuizheng: 罪证
zuizhuang: 罪状
zunchang: 尊长
zuncheng: 尊称
zungui: 尊贵
zunjing: 尊敬
zunshi: 尊师
zunyan: 尊严
zunzhong: 尊重
zuncong: 遵从
zunming: 遵命
zunshou: 遵守
zunxun: 遵循
zunzhao: 遵照
zuori: 昨日
zuotian: 昨天
zuowan: 昨晚
zuoye: 昨夜、作业
zuobian: 左边
zuoce: 左侧
zuomian: 左面
zuopai: 左派
zuoqing: 左倾
zuoshou: 左手
zuoyi: 左翼
zuoyou: 左右
zuozheng: 佐证、作证
zuoan: 作案
zuobi: 作弊
zuocheng: 作成、做成
zuochu: 作出、做出
zuodao: 作到、做到
zuofa: 作法、做法
zuofei: 作废
zuofeng: 作风
zuoguai: 作怪
zuohua: 作画
zuojia: 作家、作价、作假
zuoke: 作客、做客
zuole: 作乐、作了、做了
zuoluan: 作乱
zuopin: 作品
zuoqu: 作曲
zuosui: 作祟
zuowei: 作为、坐位、座位
zuowen: 作文
zuowu: 作物
zuoxi: 作息
zuoxie: 作些、作协、做些
zuoxiu: 作秀
zuoyong: 作用
zuozhan: 作战
zuozhe: 作者
zuozhu: 作主、做主
zuobiao: 坐标
zuodeng: 坐等
zuoluo: 坐落
zuoshi: 坐视、做事
zuoxia: 坐下
zuoci: 座次
zuotan: 座谈
zuofan: 做饭
zuogong: 做工、做功
zuoguan: 做官
zuohao: 做好
zuomeng: 做梦
zuoren: 做人
zuosheng: 做声
zuozuo: 做作
afuhan: 阿富汗
agenting: 阿根廷
alabo: 阿拉伯
aifeishe: 埃菲社
aixibao: 癌细胞
aizibing: 艾滋病、爱滋病
aiguoxin: 爱国心
aiguozhe: 爱国者
aihaozhe: 爱好者
aikexue: 爱科学
ailaodong: 爱劳动
aimianzi: 爱面子
airenmin: 爱人民
aixuexi: 爱学习
aizuguo: 爱祖国
angela: 安哥拉
anhuisheng: 安徽省
anjiafei: 安家费
anlesi: 安乐死
anlewo: 安乐窝
anlihui: 安理会
anquandai: 安全带
anquanfa: 安全阀
anquangan: 安全感
anquanju: 安全局
anquanmao: 安全帽
anquanqu: 安全区
anquanxing: 安全性
anjisuan: 氨基酸
anjianfa: 氨碱法
anbili: 按比例
anguanli: 按惯例
anguiding: 按规定
anjihua: 按计划
anjianshi: 按键式
anlishuo: 按理说
anniushi: 按钮式
andili: 暗地里
aomianjing: 凹面镜
aotoujing: 凹透镜
aodili: 奥地利
aoweihui: 奥委会
aoyunhui: 奥运会
aomenyuan: 澳门元
babaoshan: 八宝山
badaling: 八达岭
bajinzhi: 八进制
balujun: 八路军
baxiaoshi: 八小时
bayidui: 八一队
bayuefen: 八月份
babude: 巴不得
bageda: 巴格达
banama: 巴拿马
baleiwu: 芭蕾舞
baimangmang: 白茫茫
bairehua: 白热化
baixibao: 白细胞
baiduodun: 百多吨
baifenbi: 百分比
baifendian: 百分点
baifenlv: 百分率
baifenshu: 百分数
baifenzhi: 百分之、百分制
baimuda: 百慕大
baikuoqi: 摆阔气
baishishi: 摆事实
banwuhui: 班务会
banzhuren: 班主任
banzuchang: 班组长
banbucheng: 办不成
banbudao: 办不到
bandedao: 办得到
bangongfei: 办公费
